Cuadro II.2,,,,
Salarios en el IMSS 1 2,,,,
(Pesos por día),,,,
Periodo,Salario diario asociado a cotizantes,Salario diario asociado a trabajadores asegurados,,
,,Total,Hombres,Mujeres
Octubre,221.96,229.44 ,243.64 ,204.18 
Noviembre,222.67,230.76 ,245.10 ,205.36 
Diciembre,222.84,232.03 ,246.32 ,206.80 
2009,231.63,239.98 ,254.08 ,215.18 
Enero,233.17,241.12 ,255.76 ,215.07 
Febrero,233.37,241.49 ,255.92 ,215.74 
Marzo,230.48,238.09 ,251.83 ,213.58 
Abril,230.47,238.24 ,251.93 ,213.84 
Mayo,233.19,241.32 ,255.81 ,215.67 
Junio,232.70,240.90 ,255.16 ,215.60 
Julio,234.02,242.26 ,256.71 ,216.94 
Agosto,233.16,241.55 ,255.88 ,216.45 
Septiembre,231.65,239.66 ,253.79 ,215.00 
Octubre,229.47,237.81 ,251.38 ,214.29 
Noviembre,229.40,238.43 ,252.14 ,214.72 
Diciembre,228.69,238.95 ,252.66 ,215.26 
2010,239.16,248.67 ,262.56 ,224.51 
Enero,240.46,249.33 ,263.64 ,224.43 
Febrero,239.78,248.70 ,262.81 ,224.12 
Marzo,237.23,245.32 ,258.92 ,221.61 
Abril,236.87,245.16 ,258.72 ,221.53 
Mayo,240.51,249.31 ,263.74 ,224.30 
Junio,239.69,248.57 ,262.84 ,223.80 
Julio,241.99,251.74 ,266.13 ,226.69 
Agosto,241.12,251.58 ,265.42 ,227.47 
Septiembre,238.60,248.58 ,262.10 ,225.08 
Octubre,237.60,248.03 ,261.45 ,224.73 
Noviembre,238.26,248.39 ,262.03 ,224.72 
Diciembre,237.86,249.29 ,262.94 ,225.65 
2011,249.32,260.05 ,273.76 ,236.14 
Enero,249.27,260.88 ,274.65 ,236.85 
Febrero,248.98,259.47 ,273.40 ,235.15 
Marzo,248.26,258.09 ,271.24 ,235.12 
Abril,248.05,258.52 ,271.84 ,235.31 
Mayo,250.45,260.71 ,275.00 ,235.83 
Junio,249.92,259.89 ,274.08 ,235.13 
Julio,252.32,262.74 ,277.19 ,237.49 
Agosto,251.48,261.85 ,275.94 ,237.17 
Septiembre,248.74,259.49 ,272.81 ,236.18 
